stname,brate1544_thsnds_ch_pct
AK,-5.4787889
AL,-5.3939962
AR,-7.8527479
AZ,-25.359673
CA,-18.001598
CO,-18.888012
CT,-10.990135
DC,-11.875763
DE,-8.7921305
FL,-10.379827
GA,-16.614103
HI,-8.5895386
IA,-4.3744917
ID,-17.052298
IL,-12.436845
IN,-6.6210999
KS,-9.7177629
KY,-3.2497139
LA,-2.996629
MA,-10.429545
MD,-4.6013637
ME,-2.4700398
MI,-4.6501813
MN,-5.3728347
MO,-6.5715427
MS,-12.649983
MT,-7.3604822
NC,-11.871017
ND,11.299847
NE,-6.3127956
NH,-7.9876041
NJ,-6.3958483
NM,-18.97426
NV,-17.351501
NY,-4.1520357
OH,-4.022202
OK,-10.038993
OR,-16.381767
PA,-3.1879239
RI,-7.8634515
SC,-11.114433
SD,-2.5745666
TN,-6.827508
TX,-15.707031
UT,-23.23208
VA,-7.777853
VT,-5.8022509
WA,-8.2486229
WI,-5.4838762
WV,-4.0826817
WY,-11.85222
