year,brate_1519,brate_2024,brate_2529,brate_3034,brate_3539,brate_4044,brate_whitenh,brate_blacknh,brate_hisp
1980,53,115.1,112.9,61.9,19.8,3.9,,,
1981,52.2,112.2,111.5,61.4,20,3.8,,,
1982,52.4,111.6,111,64.1,21.2,3.9,,,
1983,51.4,107.8,108.5,64.9,22,3.9,,,
1984,50.6,106.8,108.7,67,22.9,3.9,,,
1985,51,108.3,111,69.1,24,4,,,
1986,50.2,107.4,109.8,70.1,24.4,4.1,,,
1987,50.6,107.9,111.6,72.1,26.3,4.4,,,
1988,53,110.2,114.4,74.8,28.1,4.8,,,
1989,57.3,113.8,117.6,77.4,29.9,5.2,60.5,84.8,104.9
1990,59.9,116.5,120.2,80.8,31.7,5.5,62.8,89,107.7
1991,61.8,115.3,117.2,79.2,31.9,5.5,60.9,87,106.9
1992,60.3,113.7,115.7,79.6,32.3,5.9,60,84.5,106.1
1993,59,111.3,113.2,79.9,32.7,6.1,58.9,81.5,103.3
1994,58.2,109.2,111,80.4,33.4,6.4,58.2,77.5,100.7
1995,56,107.5,108.8,81.1,34,6.6,57.5,72.8,98.8
1996,53.5,107.8,108.6,82.1,34.9,6.8,57.1,70.7,97.5
1997,51.3,107.3,108.3,83,35.7,7.1,56.8,70.3,94.2
1998,50.3,108.4,110.2,85.2,36.9,7.4,57.6,70.9,93.2
1999,48.8,107.9,111.2,87.1,37.8,7.4,57.7,69.9,93
2000,47.7,109.7,113.5,91.2,39.7,8,58.5,71.4,95.9
2001,45,105.6,113.8,91.8,40.5,8.1,57.7,69.1,95.4
2002,42.6,103.1,114.7,92.6,41.6,8.3,57.6,67.5,94.7
2003,41.1,102.3,116.7,95.7,43.9,8.7,58.9,67.1,95.2
2004,40.5,101.5,116.5,96.2,45.5,9,58.9,67.1,95.7
2005,39.7,101.8,116.5,96.7,46.4,9.1,59,67.2,96.4
2006,41.1,105.5,118,98.9,47.5,9.4,60.3,70.7,98.3
2007,41.5,105.4,118.1,100.6,47.6,9.6,61,71.4,97.4
2008,40.2,101.8,115,99.4,46.8,9.9,60.5,70.8,92.7
2009,37.9,96.2,111.5,97.5,46.1,10,59.6,68.9,86.5
2010,34.2,90,108.3,96.5,45.9,10.2,58.7,66.6,80.2
2011,31.3,85.3,107.2,96.5,47.2,10.3,58.7,65.4,76.2
2012,29.4,83.1,106.5,97.3,48.3,10.4,58.6,65,74.4
2013,26.5,80.7,105.5,98,49.3,10.4,58.7,64.6,72.9
2014,24.2,79,105.8,100.8,51,10.6,59.5,64.5,72.1
2015,22.3,76.8,104.3,101.5,51.8,11,59.3,64.1,71.7
2016,20.3,73.8,102.1,102.7,52.7,11.4,58.8,63.3,70.6
2017,18.8,71,98,100.3,52.3,11.6,57.2,63.1,67.6
2018,17.4,68,95.3,99.7,52.6,11.8,56.3,62,65.9
2019,16.7,66.6,93.7,98.3,52.8,12,55.3,61.4,65.3
2020,15.3,62.8,90,94.8,51.7,11.8,53.2,59,62.8
